name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Husbands Bosworth, Lutterworth, England, United Kingdom",2023-06-25,28.4,15.1,21.8,28.6,15.1,21.8,14.4,64.8,0.01,100,4.17,rain,0,0,38.4,21.3,205.7,1013.3,19.4,41.7,279.9,24.1,8,30,2023-06-25T04:42:34,2023-06-25T21:31:03,0.24,Rain,Clear conditions throughout the day with late afternoon rain.,rain,"03529099999,03462099999,E7347,03647099999,03379099999,03354099999,03535099999,03560099999,03544099999"
"Husbands Bosworth, Lutterworth, England, United Kingdom",2023-06-26,21,12.5,17,21,12.5,17,9.2,62,0,0,0,rain,0,0,39,21.1,261.6,1018.3,25.8,47.8,242.9,20.9,9,10,2023-06-26T04:42:59,2023-06-26T21:31:01,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03529099999,03462099999,EGBB,E7347,D6997,03354099999,03535099999,03560099999,EGNX,EGXT,03544099999"
"Husbands Bosworth, Lutterworth, England, United Kingdom",2023-06-27,19.2,12.5,16.4,19.2,12.5,16.4,12.2,76.4,0.11,100,4.17,rain,0,0,28,15,229.3,1019.9,76.9,29.7,81.3,7,3,10,2023-06-27T04:43:28,2023-06-27T21:30:55,0.3,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"03529099999,03462099999,E7347,03354099999,03535099999,D7144,03560099999,03544099999"
"Husbands Bosworth, Lutterworth, England, United Kingdom",2023-06-28,22.2,15.2,19,22.2,15.2,19,16.1,83.2,1.286,100,25,rain,0,0,26.3,14,233.9,1016,91.8,20.2,92.8,7.9,4,10,2023-06-28T04:43:59,2023-06-28T21:30:46,0.34,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"03529099999,03462099999,E7347,03379099999,03354099999,03535099999,03560099999,03544099999"
"Husbands Bosworth, Lutterworth, England, United Kingdom",2023-06-29,20.2,12.6,16.4,20.2,12.6,16.4,10.9,72.5,3.684,100,37.5,rain,0,0,27.1,16.5,326.2,1016.4,48.4,20.6,244.4,21.2,7,10,2023-06-29T04:44:34,2023-06-29T21:30:34,0.37,"Rain, Partially cloudy",Clearing in the afternoon with rain clearing later.,rain,"03529099999,D6997,E7347,EGBB,03647099999,03379099999,03354099999,03535099999,D7144,03560099999,03544099999"
"Husbands Bosworth, Lutterworth, England, United Kingdom",2023-06-30,17.5,9.7,14.5,17.5,9.2,14.5,11.5,82.5,0.211,100,8.33,rain,0,0,31.5,17.9,214.2,1010.5,57.8,33.9,93.3,8.2,3,10,2023-06-30T04:45:11,2023-06-30T21:30:19,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03529099999,E7347,03647099999,03379099999,03354099999,03535099999,03560099999,03544099999"
"Husbands Bosworth, Lutterworth, England, United Kingdom",2023-07-01,20,14.4,17.1,20,14.4,17.1,11.6,71.8,0.14,100,8.33,rain,0,0,43.6,26.3,274.6,1005.2,77.2,37.8,145.5,12.5,4,10,2023-07-01T04:45:51,2023-07-01T21:30:00,0.43,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"03529099999,E7347,03379099999,03354099999,03535099999,03560099999,03544099999"
"Husbands Bosworth, Lutterworth, England, United Kingdom",2023-07-02,17.7,10.3,14.6,17.7,10.3,14.6,7.4,63.7,0.027,100,4.17,rain,0,0,38.3,23.4,259.6,1010.4,48.7,28.8,157.2,13.7,4,10,2023-07-02T04:46:34,2023-07-02T21:29:38,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"03529099999,E7347,03647099999,03379099999,03354099999,03535099999,03560099999,03544099999"
"Husbands Bosworth, Lutterworth, England, United Kingdom",2023-07-03,18.2,11.1,14.3,18.2,11.1,14.3,8.3,67.8,1.059,100,33.33,rain,0,0,49.1,28.6,251.2,1009,52.5,32.8,216.3,18.6,9,10,2023-07-03T04:47:19,2023-07-03T21:29:13,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03529099999,03462099999,E7347,03379099999,03354099999,03535099999,03560099999,03544099999"
"Husbands Bosworth, Lutterworth, England, United Kingdom",2023-07-04,14.4,11.6,13.1,14.4,11.6,13.1,9.4,78.6,0.952,100,37.5,rain,0,0,26.6,15.2,217.8,1009.1,53,32.9,101.7,8.7,3,10,2023-07-04T04:48:07,2023-07-04T21:28:45,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03462099999,E7347,03354099999,03535099999,03560099999,03544099999"
"Husbands Bosworth, Lutterworth, England, United Kingdom",2023-07-05,18.2,9.1,14.3,18.2,7.4,14.1,8.7,71.2,0.881,100,16.67,rain,0,0,35.8,22,267,1009.7,56.4,38.6,218,18.7,10,10,2023-07-05T04:48:58,2023-07-05T21:28:13,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"03529099999,03462099999,E7347,03354099999,03535099999,03560099999,03544099999"
"Husbands Bosworth, Lutterworth, England, United Kingdom",2023-07-06,20.6,9.4,15.5,20.6,8.9,15.5,8.7,66.1,0,0,0,rain,0,0,43.9,22.6,209.7,1014.2,28.1,37.2,221.8,19,7,10,2023-07-06T04:49:51,2023-07-06T21:27:39,0.6,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03529099999,03462099999,E7347,EGBB,03418599999,03354099999,03535099999,03560099999,EGNX,03544099999,EGXT"
"Husbands Bosworth, Lutterworth, England, United Kingdom",2023-07-07,26.7,11.1,19.6,26.6,11.1,19.6,10.4,58.1,0,0,0,,0,0,32.3,17.8,170.5,1014.8,6.6,37.2,312.6,26.9,9,10,2023-07-07T04:50:47,2023-07-07T21:27:01,0.64,Clear,Clear conditions throughout the day.,clear-day,"03529099999,03462099999,E7347,03379099999,03354099999,03535099999,03560099999,03544099999"
"Husbands Bosworth, Lutterworth, England, United Kingdom",2023-07-08,23.5,17.6,20.3,23.5,17.6,20.3,14.9,72.2,10.39,100,41.67,rain,0,0,24.8,15.1,152.6,1014.2,39.2,29.7,116.4,10.1,4,30,2023-07-08T04:51:45,2023-07-08T21:26:20,0.67,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain.,rain,"03462099999,E7347,03354099999,03535099999,03560099999,03544099999"
"Husbands Bosworth, Lutterworth, England, United Kingdom",2023-07-09,21.9,14.3,17.5,21.9,14.3,17.5,13.9,81,0.723,100,12.5,rain,0,0,29,16.3,212.2,1017.8,44.6,26.6,204.8,17.5,10,10,2023-07-09T04:52:45,2023-07-09T21:25:36,0.71,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03462099999,E7347,03354099999,03535099999,03560099999,03544099999"
"Husbands Bosworth, Lutterworth, England, United Kingdom",2023-07-10,21,12.2,16.7,21,12.2,16.7,12.7,78.5,0.708,100,25,rain,0,0,39,21.1,195.4,1017.3,50.4,30.8,172,14.9,7,10,2023-07-10T04:53:48,2023-07-10T21:24:49,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03462099999,E7347,03354099999,03535099999,03560099999,03544099999"
"Husbands Bosworth, Lutterworth, England, United Kingdom",2023-07-11,19.2,14.6,16.8,19.2,14.6,16.8,13.9,83.4,10.278,100,66.67,rain,0,0,34.9,18.6,218.1,1008.1,80.1,28.2,165.1,14.3,6,10,2023-07-11T04:54:52,2023-07-11T21:24:00,0.78,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03462099999,E7347,03354099999,03535099999,03560099999,03544099999"
"Husbands Bosworth, Lutterworth, England, United Kingdom",2023-07-12,19.5,12.5,16.1,19.5,12.5,16.1,11.4,75,1.92,100,33.33,rain,0,0,37.9,22.2,244.9,1009.7,42.2,31.4,159,13.7,8,10,2023-07-12T04:55:59,2023-07-12T21:23:07,0.81,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03529099999,03462099999,E7347,03354099999,03535099999,03560099999,03544099999"
"Husbands Bosworth, Lutterworth, England, United Kingdom",2023-07-13,20,13.1,16.4,20,13.1,16.4,12.2,77.4,1.529,100,25,rain,0,0,31.7,17.5,240.1,1014.4,60.4,27.8,139.3,12.1,5,10,2023-07-13T04:57:08,2023-07-13T21:22:11,0.85,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03529099999,03462099999,E7347,EGBB,03418599999,03379099999,03354099999,03535099999,03560099999,EGNX,EGXT,03544099999"
"Husbands Bosworth, Lutterworth, England, United Kingdom",2023-07-14,17.2,12.7,14.7,17.2,12.7,14.7,13.5,92.8,13.293,100,62.5,rain,0,0,39.4,18.6,155.9,1007.2,87.7,15.8,37.5,3.4,1,10,2023-07-14T04:58:18,2023-07-14T21:21:13,0.88,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03462099999,E7347,03354099999,03535099999,03560099999,03544099999"
"Husbands Bosworth, Lutterworth, England, United Kingdom",2023-07-15,18.2,14.2,16.1,18.2,14.2,16.1,12.9,81.9,5.487,100,58.33,rain,0,0,53.6,28.5,205,997.3,78.1,25.9,124.5,10.7,5,10,2023-07-15T04:59:31,2023-07-15T21:20:11,0.92,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03529099999,03462099999,E7347,03354099999,03535099999,03560099999,03544099999"
"Husbands Bosworth, Lutterworth, England, United Kingdom",2023-07-16,18.5,13.7,15.9,18.5,13.7,15.9,11.3,73.9,3.364,100,45.83,rain,0,0,45.2,23.4,233,1006.3,81.1,31,174.9,15,9,10,2023-07-16T05:00:45,2023-07-16T21:19:08,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03462099999,E7347,03354099999,03535099999,03560099999,03544099999"
"Husbands Bosworth, Lutterworth, England, United Kingdom",2023-07-17,20.7,10.9,15.9,20.7,10.9,15.9,10.4,71.5,0.524,100,12.5,rain,0,0,39.2,21.8,244.7,1015.9,41.4,31.9,206,17.8,10,10,2023-07-17T05:02:01,2023-07-17T21:18:01,0,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"03529099999,03462099999,E7347,03354099999,03535099999,03560099999,03544099999"
"Husbands Bosworth, Lutterworth, England, United Kingdom",2023-07-18,18.2,11.3,14.9,18.2,11.3,14.9,11.5,80.7,0.994,100,41.67,rain,0,0,16.1,9.4,234.9,1017.7,67,29.5,128,11.2,4,10,2023-07-18T05:03:19,2023-07-18T21:16:51,0.02,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03462099999,E7347,03354099999,03535099999,03560099999,03544099999"
"Husbands Bosworth, Lutterworth, England, United Kingdom",2023-07-19,20.6,14,16.6,20.6,14,16.6,12.1,76.5,0.639,100,29.17,rain,0,0,28,17,304.2,1014.8,78.3,32.6,180.1,15.5,10,10,2023-07-19T05:04:38,2023-07-19T21:15:40,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03529099999,03462099999,E7347,03379099999,03354099999,03535099999,03560099999,03544099999"
"Husbands Bosworth, Lutterworth, England, United Kingdom",2023-07-20,18.8,9,14.7,18.8,8.6,14.6,9.1,71.2,0,0,0,rain,0,0,19.2,13,303.3,1015.8,50.9,26.1,181.6,15.6,9,10,2023-07-20T05:05:59,2023-07-20T21:14:25,0.09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03529099999,03462099999,E7347,EGBB,03379099999,03354099999,03535099999,03560099999,03544099999,EGXT"
"Husbands Bosworth, Lutterworth, England, United Kingdom",2023-07-21,18.2,9.9,14.2,18.2,8.7,14.1,9.5,74,0.137,100,16.67,rain,0,0,24,15,280.4,1013.6,63.6,24.1,135.3,11.8,7,10,2023-07-21T05:07:21,2023-07-21T21:13:08,0.12,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03529099999,03462099999,E7347,03354099999,03535099999,03560099999,03544099999"
"Husbands Bosworth, Lutterworth, England, United Kingdom",2023-07-22,16.4,12.6,14.4,16.4,12.6,14.4,13,91.3,10.119,100,70.83,rain,0,0,36.1,18.7,201.2,1008,98.3,22,64.9,5.6,2,10,2023-07-22T05:08:45,2023-07-22T21:11:49,0.16,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"03462099999,E7347,03354099999,03535099999,03560099999,03544099999"
"Husbands Bosworth, Lutterworth, England, United Kingdom",2023-07-23,21.8,15.5,18.1,21.8,15.5,18.1,14.4,80,3.245,100,50,rain,0,0,34,18.7,237.7,1001,79.1,42.6,210.3,18.1,10,10,2023-07-23T05:10:10,2023-07-23T21:10:27,0.19,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03529099999,03462099999,E7347,03354099999,03535099999,03560099999,03544099999"
"Husbands Bosworth, Lutterworth, England, United Kingdom",2023-07-24,17.6,12,14.5,17.6,12,14.5,11.7,84.3,6.297,100,58.33,rain,0,0,25.4,16.7,21.7,1006.2,89.8,27.1,122.8,10.6,10,10,2023-07-24T05:11:36,2023-07-24T21:09:03,0.22,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03529099999,03462099999,E7347,EGBB,03418599999,03354099999,03535099999,03560099999,EGNX,03544099999,EGXT"
"Husbands Bosworth, Lutterworth, England, United Kingdom",2023-07-25,17.4,10,14,17.4,10,14,9.2,74,0.239,100,25,rain,0,0,24.8,15.7,290.2,1010.5,60.1,38.5,197.6,17.1,10,10,2023-07-25T05:13:03,2023-07-25T21:07:36,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03529099999,03462099999,E7347,03354099999,03535099999,03560099999,03544099999"
"Husbands Bosworth, Lutterworth, England, United Kingdom",2023-07-26,20.4,9.3,14.6,20.4,8.4,14.5,9.8,75.5,11.779,100,25,rain,0,0,29.1,16.1,218.4,1010.7,44.3,25.9,201.5,17.5,9,10,2023-07-26T05:14:31,2023-07-26T21:06:08,0.29,"Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain.,rain,"03529099999,03462099999,E7347,03379099999,03354099999,03535099999,03560099999,03544099999"
"Husbands Bosworth, Lutterworth, England, United Kingdom",2023-07-27,23.7,15.3,19.3,23.7,15.3,19.3,16,82.6,2.663,100,29.17,rain,0,0,40,20,245.5,1001.5,91.6,45.9,129.9,11.1,5,10,2023-07-27T05:16:00,2023-07-27T21:04:37,0.32,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"03529099999,03462099999,E7347,EGBB,03647099999,03379099999,03354099999,03535099999,03560099999,EGNX,03544099999,EGXT"
"Husbands Bosworth, Lutterworth, England, United Kingdom",2023-07-28,21.7,16.1,18.5,21.7,16.1,18.5,14.3,77.1,0,0,0,rain,0,0,28,16.3,229.3,1004.5,90.7,46.2,144.2,12.5,9,10,2023-07-28T05:17:30,2023-07-28T21:03:04,0.36,Overcast,Cloudy skies throughout the day.,cloudy,"03529099999,03462099999,E7347,03354099999,03535099999,03560099999,03544099999"
"Husbands Bosworth, Lutterworth, England, United Kingdom",2023-07-29,21.2,14.7,17.5,21.2,14.7,17.5,11.6,70,0.023,100,4.17,rain,0,0,39.4,23.3,232.6,1004.5,60.2,41.4,156.1,13.4,7,10,2023-07-29T05:19:02,2023-07-29T21:01:29,0.39,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"03529099999,03462099999,E7347,03354099999,03535099999,03560099999,03544099999"
"Husbands Bosworth, Lutterworth, England, United Kingdom",2023-07-30,18.7,13.5,15.8,18.7,13.5,15.8,12.1,79.6,2.661,100,37.5,rain,0,0,40.5,21.7,234.3,1008.2,76.2,28.4,134.5,11.5,6,10,2023-07-30T05:20:34,2023-07-30T20:59:52,0.42,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03462099999,E7347,03354099999,03535099999,03560099999,03544099999"
"Husbands Bosworth, Lutterworth, England, United Kingdom",2023-07-31,17.6,14.7,16.6,17.6,14.7,16.6,14.2,85.7,1.165,100,54.17,rain,0,0,31.7,18.6,233.3,1002.6,83.1,33.3,70.1,6,2,10,2023-07-31T05:22:06,2023-07-31T20:58:13,0.46,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03529099999,03462099999,E7347,03354099999,03535099999,03560099999,03544099999"
